Price,Bedroom,Bathroom,Square feet,Street,City/State
"$1,118,000",1bd,1ba,"1,117 sqft",325 Berry St #602,"Mission Bay, San Francisco, CA"
"$1,750,000",1bd,1ba,"5,630 sqft",1301-1311 40th Ave,"Outer Sunset, San Francisco, CA"
"$808,000",2bd,2ba,"1,500 sqft",95 McCoppin St #E410,"SoMa, San Francisco, CA"
"$1,698,000",2bd,2ba,"1,495 sqft",1770 Pacific Ave #103,"Pacific Heights, San Francisco, CA"
"$2,370,000+",1bd,1ba,595 sqft,201 Folsom St #32C,"South Beach, San Francisco, CA"
"$799,000",2bd,2ba,"1,240 sqft",2000 Ellis St #205,"Anza Vista, San Francisco, CA"
"$1,350,000",2bd,1ba,913 sqft,401 Harrison St #7F,"South Beach, San Francisco, CA"
Contact For Estimate,2bd,2ba,923 sqft,85 Ora Way #E302,"Diamond Heights, San Francisco, CA"
"$995,000+",5bd,4ba,"2,176 sqft",203 Plan in La Maison Soma,"SoMa, San Francisco, CA"
"$995,000",2bd,2ba,"2,630 sqft",1632 Pacheco St,"Central Sunset, San Francisco, CA"
"$998,000",1bd,1ba,"1,490 sqft",3049-3051 Clement St,"Central Richmond, San Francisco, CA"
"$1,088,000",1bd,2ba,519 sqft,49 Missouri St #6,"Potrero Hill, San Francisco, CA"
"$270,000",1bd,2ba,519 sqft,1450 Post St #1005,"Lower Pacific Heights, San Francisco, CA"
"$275,000",3bd,3ba,724 sqft,1450 Post St #305,"Lower Pacific Heights, San Francisco, CA"
"$419,000",3bd,2ba,"1,360 sqft",1450 Post St #801,"Lower Pacific Heights, San Francisco, CA"
"$550,000",1bd,2ba,"1,050 sqft",122 Dolphin Ct,"Hunters Point, San Francisco, CA"
"$599,000",2bd,1ba,891 sqft, Address Not Disclosed,"Lower Pacific Heights, San Francisco, CA"
"$1,249,000",1bd,1ba,535 sqft,113 Hoffman Ave,"Noe Valley, San Francisco, CA"
"$588,000",1bd,1ba,678 sqft,1812 Silver Ave,"Silver Terrace, San Francisco, CA"
"$329,448",3bd,2ba,"1,334 sqft",888 7th St #234,"Potrero Hill, San Francisco, CA"
"$700,000",3bd,3ba,"1,575 sqft",301 Mission St #11D,"South Beach, San Francisco, CA"
"$1,395,000",2bd,2ba,"1,530 sqft",650 Chestnut St #402,"North Beach, San Francisco, CA"
"$368,638",3bd,4ba,"1,882 sqft",106 W Crystal Cove Ter,"Bayview, San Francisco, CA"
"$1,650,000",2bd,2ba,896 sqft,Address Not Disclosed,"Presidio Heights, San Francisco, CA"
"$5,630,000+",3bd,4ba,"4,000 sqft",181 Fremont St #63A,"South Beach, San Francisco, CA"
"$403,360",9bd,2ba,"5,265 sqft",330 Berry St #225,"Mission Bay, San Francisco, CA"
"$7,250,000",3bd,2ba,"1,860 sqft",1742 Jones St,"Russian Hill, San Francisco, CA"
"$3,495,000",3bd,2ba,930 sqft,1720 Golden Gate Ave,"Northern Park, San Francisco, CA"
"$1,725,000",3bd,1ba,"1,408 sqft",2831-2833 Webster St #5,"Cow Hollow, San Francisco, CA"
"$1,149,000",3bd,2ba,"1,087 sqft",177 Forest View Dr,"Merced Manor, San Francisco, CA"
"$619,000",2bd,7ba,"7,195 sqft",325 Teddy Ave,"Visitacion Valley, San Francisco, CA"
"$1,098,000",7bd,2ba,"1,433 sqft",101 Darien Way,"Balboa Terrace, San Francisco, CA"
"$849,000",3bd,3ba,"3,144 sqft",272 Saint Charles Ave,"Ingleside Heights, San Francisco, CA"
"$4,995,000",4bd,4ba,"2,875 sqft",1848-1850 GREEN ST,"Marina, SAN FRANCISCO, CA"
"$1,600,000",4bd,1ba,"3,064 sqft",400 Beale St #814,"South Beach, San Francisco, CA"
"$1,295,000",2bd,2ba,"3,106 sqft",2930-2934 21st St,"Mission, San Francisco, CA"
"$749,950",3bd,2ba,"1,519 sqft",1438 Van Dyke Ave,"Bayview, San Francisco, CA"
"$2,995,000",2bd,1ba,"1,096 sqft",564 Valley St,"Noe Valley, San Francisco, CA"
"$1,495,000",2bd,5ba,"1,364 sqft",666-668 S Van Ness Ave,"Mission, San Francisco, CA"
"$1,250,000",5bd,2ba,"106,704 sqft",220 Lombard St #216,"Fisherman's Wharf, San Francisco, CA"
"$995,000",2bd,1ba,"3,915 sqft",66 Cleary Ct #106,"Western Addition, San Francisco, CA"
"$1,299,000",2bd,2ba,"3,067 sqft",325 Berry St #416,"Mission Bay, San Francisco, CA"
"$10,750,000",2bd,3ba,"5,463 sqft",495 Cambridge St,"Portola, San Francisco, CA"
"$1,549,000",3bd,2ba,"1,350 sqft",3552-3558 20th St,"Mission, San Francisco, CA"
"$1,495,000",3bd,2ba,"4,163 sqft",415 14th Ave,"Central Richmond, San Francisco, CA"
"$2,199,000",2bd,2ba,"5,710 sqft",1739-1743 Larkin St,"Nob Hill, San Francisco, CA"
"$799,000",2bd,2ba,"1,118 sqft",2436 Alemany Blvd,"Outer Mission, San Francisco, CA"
"$1,800,000",2bd,1ba,800 sqft,65-69 Woodward St,"Mission, San Francisco, CA"
"$9,750,000",3bd,2ba,"1,946 sqft",2636 Union St,"Cow Hollow, San Francisco, CA"
"$1,300,000",3bd,1ba,"5,000 sqft",2230 Mason St #M301,"North Beach, San Francisco, CA"
"$599,000",1bd,1ba,"6,938 sqft",338 Teddy Ave,"Visitacion Valley, San Francisco, CA"
"$1,950,000",1bd,2ba,"9,500 sqft",405 Laurel St,"Presidio Heights, San Francisco, CA"
"$1,939,000",4bd,2ba,"8,166 sqft",1963 Clay St,"Pacific Heights, San Francisco, CA"
"$1,688,000",1bd,2ba,"12,150 sqft",1322-1324 20th Ave,"Central Sunset, San Francisco, CA"
"$3,295,000",3bd,1ba,"11,800 sqft",794-796 Hayes St,"Alamo Square, San Francisco, CA"
"$4,500,000",1bd,2ba,"4,170 sqft",220-224 6th St,"SoMa, San Francisco, CA"
"$3,195,000",4bd,1ba,"1,920 sqft",3300 Mission St #3308,"Mission, San Francisco, CA"
"$4,650,000",1bd,2ba,"1,634 sqft",349-357 Pierce St,"Hayes Valley, San Francisco, CA"
"$4,725,000",4bd,1ba,"2,555 sqft",370 Ellis St,"Tenderloin, San Francisco, CA"
"$1,750,000",2bd,1ba,"23,200 sqft",2485-2489 Folsom St,"Mission, San Francisco, CA"
"$1,425,000",1bd,2ba,"1,365 sqft",1500 Plymouth Ave,"Westwood Park, San Francisco, CA"
