Name,Street,City,State,Zip Code,Phone Number
Cafe Madeleine,300 California St Fl Grnd1,San Francisco ,CA,94104,(415) 362-3332
Peet's Coffee & Tea,2139 Polk St,San Francisco ,CA,94109,(415) 474-1871
Cafe Claude,7 Claude Ln,San Francisco ,CA,94108,(415) 392-3505
Pacific Cafe,7000 Geary Blvd,San Francisco ,CA,94121,(415) 387-7091
Cafe Tiramisu,28 Belden Pl,San Francisco ,CA,94104,(415) 421-7044
Zuni Cafe,1658 Market St,San Francisco ,CA,94102,(415) 552-2522
Pork Store Cafe,1451 Haight St,San Francisco ,CA,94117,(415) 864-6981
Blue Light Cafe,1979 Union St,San Francisco ,CA,94123,(415) 922-5510
Chaat Cafe,320 3rd St,San Francisco ,CA,94107,(415) 979-9946
Nook,1500 Hyde St,San Francisco ,CA,94109,(415) 447-4100
Stella Pastry Cafe,446 Columbus Ave,San Francisco ,CA,94133,(415) 986-2914
Chloe's Cafe,1399 Church St,San Francisco ,CA,94114,(415) 648-4116
Cafe Jacqueline,1454 Grant Ave,San Francisco ,CA,94133,(415) 981-5565
Caffe Delucchi,500 Columbus Ave,San Francisco ,CA,94133,(415) 393-4515
Rose's Cafe,2298 Union St,San Francisco ,CA,94123,(415) 775-2200
Primo Patio Cafe,214 Townsend St,San Francisco ,CA,94107,(415) 957-1129
Universal Cafe,2814 19th St,San Francisco ,CA,94110,(415) 821-4608
Farleys,1315 18th St,San Francisco ,CA,94107,(415) 648-1545
Sea Breeze Cafe,3940 Judah St,San Francisco ,CA,94122,(415) 242-6022
Dolores Park Cafe,501 Dolores St,San Francisco ,CA,94110,(415) 621-2936
Just for You,732 22nd St,San Francisco ,CA,94107,(415) 647-3033
Brick House Cafe,426 Brannan St,San Francisco ,CA,94107,(415) 369-0222
Cafe XO,1799 Church St,San Francisco ,CA,94131,(415) 826-3535
Blue Bottle Coffee,"1 Ferry Building, #7",San Francisco ,CA,94111,(510) 653-3394
Trattoria Volare Caffe,561 Columbus Ave,San Francisco ,CA,94133,(415) 362-2774
Four Barrel Coffee,375 Valencia St,San Francisco ,CA,94103,(415) 252-0800
Nob Hill Cafe,1152 Taylor St,San Francisco ,CA,94108,(415) 776-6500
Cafe Capriccio,2200 Mason St,San Francisco ,CA,94133,(415) 772-0937
Cafe Flore,2298 Market St,San Francisco ,CA,94114,(415) 621-8579
People's Cafe,1419 Haight St,San Francisco ,CA,94117,(415) 553-8842
Michelangelo Cafe,579 Columbus Ave,San Francisco ,CA,94133,(415) 986-4058
Pescatore,2455 Mason St,San Francisco ,CA,94133,(415) 561-1111
Caffe Roma,526 Columbus Ave,San Francisco ,CA,94133,(415) 296-7942
Fillmore Bakeshop,1890 Fillmore St,San Francisco ,CA,94115,(415) 923-0711
Luv A Java,1300 Dolores St,San Francisco ,CA,94110,(415) 401-6444
Columbus Cafe,562 Green St,San Francisco ,CA,94133,(949) 212-8434
Mario's Bohemian Cigar Store Cafe,566 Columbus Ave,San Francisco ,CA,94133,(415) 362-0536
Jade Cafe,1688 Bryant St,San Francisco ,CA,94103,(415) 552-3899
Blue Danube,306 Clement St,San Francisco ,CA,94118,(415) 221-9041
Starbucks Coffee,1231 Market St,San Francisco ,CA,94103,(415) 522-1438
Caffe Puccini,411 Columbus Ave,San Francisco ,CA,94133,(415) 989-7033
Java Beach Cafe,1396 La Playa St,San Francisco ,CA,94122,(415) 665-5282
Curbside Cafe,2417 California St,San Francisco ,CA,94115,(415) 929-9030
Working Girls Cafe,101 Mission St Ste 140,San Francisco ,CA,94105,(415) 495-8985
Cafe De La Presse,352 Grant Ave,San Francisco ,CA,94108,(415) 398-2680
Mission Beach Cafe,198 Guerrero St,San Francisco ,CA,94103,(415) 861-0198
Wok Shop Cafe,1307 Sutter St,San Francisco ,CA,94109,(415) 771-2142
Metro Caffe,247 Fillmore St,San Francisco ,CA,94117,(415) 621-9536
Blue Front Deli & Cafe,1430 Haight St,San Francisco ,CA,94117,(415) 252-5917
Caffe Sport,574 Green St,San Francisco ,CA,94133,(415) 981-1251
Philz Coffee,3101 24th St,San Francisco ,CA,94110,(415) 875-9370
Caffe Delle Stelle,395 Hayes St,San Francisco ,CA,94102,(415) 252-1110
Eagle Cafe,39 Pier Ste 201,San Francisco ,CA,94133,(415) 433-3689
Pat's Cafe,2330 Taylor St,San Francisco ,CA,94133,(415) 776-8735
Caffe Macaroni,59 Columbus Ave,San Francisco ,CA,94111,(415) 956-9737
Judy's Cafe,2268 Chestnut St,San Francisco ,CA,94123,(415) 922-4588
Red's Java House,Pier 30,San Francisco ,CA,94105,(415) 777-5626
Piccino Cafe,1001 Minnesota St,San Francisco ,CA,94107,(415) 824-4224
Honey Honey Cafe & Crepery,597 Post St,San Francisco ,CA,94102,(415) 351-2423
New Taraval Cafe,1054 Taraval St,San Francisco ,CA,94116,(415) 731-3816
Starbucks Coffee,201 3rd St,San Francisco ,CA,94103,(415) 644-0072
New Taraval Cafe,1054 Taraval St,San Francisco ,CA,94116,(415) 731-3816
Angelina's Catering,6000 California St,San Francisco ,CA,94121,(415) 221-7801
Outerlands,4001 Judah St,San Francisco ,CA,94122,(415) 661-6140
Eddie's Cafe,800 Divisadero St,San Francisco ,CA,94117,(415) 563-9780
